49162812 | READER_22616 | START
49162812 | READER_22616 | WAIT_READ | PAGE 0
49162926 | READER_22616 | WAIT_READ | PAGE 1
49163037 | READER_22616 | WAIT_READ | PAGE 2
49163148 | READER_22616 | WAIT_READ | PAGE 3
49163260 | READER_22616 | WAIT_READ | PAGE 4
49163373 | READER_22616 | WAIT_READ | PAGE 5
49163485 | READER_22616 | WAIT_READ | PAGE 6
49163597 | READER_22616 | WAIT_READ | PAGE 7
49163708 | READER_22616 | WAIT_READ | PAGE 8
49163819 | READER_22616 | WAIT_READ | PAGE 0
49163931 | READER_22616 | WAIT_READ | PAGE 1
49163931 | READER_22616 | READING | PAGE 1
49164969 | READER_22616 | RELEASE | PAGE 1
49164969 | READER_22616 | WAIT_READ | PAGE 2
49165082 | READER_22616 | WAIT_READ | PAGE 3
49165082 | READER_22616 | READING | PAGE 3
49166220 | READER_22616 | RELEASE | PAGE 3
49166220 | READER_22616 | WAIT_READ | PAGE 4
49166220 | READER_22616 | READING | PAGE 4
49167612 | READER_22616 | RELEASE | PAGE 4
49167614 | READER_22616 | WAIT_READ | PAGE 5
49167614 | READER_22616 | READING | PAGE 5
49169118 | READER_22616 | LAST_READER | PAGE 5
49169118 | READER_22616 | RELEASE | PAGE 5
49169118 | READER_22616 | WAIT_READ | PAGE 6
49169118 | READER_22616 | READING | PAGE 6
49169774 | READER_22616 | RELEASE | PAGE 6
49169774 | READER_22616 | WAIT_READ | PAGE 7
49169774 | READER_22616 | READING | PAGE 7
49171230 | READER_22616 | LAST_READER | PAGE 7
49171230 | READER_22616 | RELEASE | PAGE 7
49171230 | READER_22616 | WAIT_READ | PAGE 8
49171230 | READER_22616 | READING | PAGE 8
49172396 | READER_22616 | LAST_READER | PAGE 8
49172396 | READER_22616 | RELEASE | PAGE 8
49172396 | READER_22616 | WAIT_READ | PAGE 0
49172396 | READER_22616 | READING | PAGE 0
49173052 | READER_22616 | RELEASE | PAGE 0
49173052 | READER_22616 | WAIT_READ | PAGE 1
49174010 | READER_22616 | READING | PAGE 1
49174919 | READER_22616 | LAST_READER | PAGE 1
49174919 | READER_22616 | RELEASE | PAGE 1
49174919 | READER_22616 | WAIT_READ | PAGE 2
49174919 | READER_22616 | READING | PAGE 2
49175540 | READER_22616 | RELEASE | PAGE 2
49175540 | READER_22616 | WAIT_READ | PAGE 3
49176841 | READER_22616 | READING | PAGE 3
49178153 | READER_22616 | LAST_READER | PAGE 3
49178155 | READER_22616 | RELEASE | PAGE 3
49178155 | READER_22616 | WAIT_READ | PAGE 4
49178155 | READER_22616 | READING | PAGE 4
49179258 | READER_22616 | LAST_READER | PAGE 4
49179258 | READER_22616 | RELEASE | PAGE 4
49179258 | READER_22616 | WAIT_READ | PAGE 5
49179273 | READER_22616 | READING | PAGE 5
49179993 | READER_22616 | RELEASE | PAGE 5
49179993 | READER_22616 | WAIT_READ | PAGE 6
49179993 | READER_22616 | READING | PAGE 6
49181211 | READER_22616 | RELEASE | PAGE 6
49181211 | READER_22616 | WAIT_READ | PAGE 7
49181211 | READER_22616 | READING | PAGE 7
49181756 | READER_22616 | RELEASE | PAGE 7
49181756 | READER_22616 | WAIT_READ | PAGE 8
49181820 | READER_22616 | READING | PAGE 8
49182508 | READER_22616 | RELEASE | PAGE 8
49182508 | READER_22616 | WAIT_READ | PAGE 0
49182511 | READER_22616 | READING | PAGE 0
49183950 | READER_22616 | RELEASE | PAGE 0
49183950 | READER_22616 | WAIT_READ | PAGE 1
49185101 | READER_22616 | READING | PAGE 1
49185757 | READER_22616 | RELEASE | PAGE 1
49185757 | READER_22616 | WAIT_READ | PAGE 2
49185757 | READER_22616 | READING | PAGE 2
49186798 | READER_22616 | LAST_READER | PAGE 2
49186798 | READER_22616 | RELEASE | PAGE 2
49186798 | READER_22616 | WAIT_READ | PAGE 3
49186798 | READER_22616 | READING | PAGE 3
49188031 | READER_22616 | LAST_READER | PAGE 3
49188031 | READER_22616 | RELEASE | PAGE 3
49188031 | READER_22616 | WAIT_READ | PAGE 4
49188031 | READER_22616 | READING | PAGE 4
49188848 | READER_22616 | LAST_READER | PAGE 4
49188848 | READER_22616 | RELEASE | PAGE 4
49188848 | READER_22616 | WAIT_READ | PAGE 5
49188848 | READER_22616 | READING | PAGE 5
49189822 | READER_22616 | RELEASE | PAGE 5
49189822 | READER_22616 | WAIT_READ | PAGE 6
49189854 | READER_22616 | READING | PAGE 6
49191023 | READER_22616 | LAST_READER | PAGE 6
49191023 | READER_22616 | RELEASE | PAGE 6
49191023 | READER_22616 | WAIT_READ | PAGE 7
49191023 | READER_22616 | READING | PAGE 7
49191823 | READER_22616 | RELEASE | PAGE 7
49191823 | READER_22616 | WAIT_READ | PAGE 8
49191823 | READER_22616 | READING | PAGE 8
49192626 | READER_22616 | RELEASE | PAGE 8
49192626 | READER_22616 | WAIT_READ | PAGE 0
49192626 | READER_22616 | READING | PAGE 0
49193220 | READER_22616 | RELEASE | PAGE 0
49193220 | READER_22616 | WAIT_READ | PAGE 1
49193332 | READER_22616 | READING | PAGE 1
49194275 | READER_22616 | RELEASE | PAGE 1
49194275 | READER_22616 | WAIT_READ | PAGE 2
49194915 | READER_22616 | READING | PAGE 2
49195604 | READER_22616 | RELEASE | PAGE 2
49195604 | READER_22616 | WAIT_READ | PAGE 3
49196164 | READER_22616 | READING | PAGE 3
49197218 | READER_22616 | RELEASE | PAGE 3
49197218 | READER_22616 | WAIT_READ | PAGE 4
49197218 | READER_22616 | READING | PAGE 4
49198224 | READER_22616 | RELEASE | PAGE 4
49198224 | READER_22616 | WAIT_READ | PAGE 5
49198224 | READER_22616 | READING | PAGE 5
49198977 | READER_22616 | RELEASE | PAGE 5
49198977 | READER_22616 | WAIT_READ | PAGE 6
49198977 | READER_22616 | WAIT_READ | PAGE 7
49198977 | READER_22616 | READING | PAGE 7
49200402 | READER_22616 | RELEASE | PAGE 7
49200402 | READER_22616 | WAIT_READ | PAGE 8
49200402 | READER_22616 | WAIT_READ | PAGE 0
49200402 | READER_22616 | READING | PAGE 0
49201761 | READER_22616 | RELEASE | PAGE 0
49201761 | READER_22616 | WAIT_READ | PAGE 1
49201761 | READER_22616 | WAIT_READ | PAGE 2
49201761 | READER_22616 | WAIT_READ | PAGE 3
49201761 | READER_22616 | WAIT_READ | PAGE 4
49201761 | READER_22616 | WAIT_READ | PAGE 5
49201761 | READER_22616 | WAIT_READ | PAGE 6
49201761 | READER_22616 | WAIT_READ | PAGE 7
49202561 | READER_22616 | READING | PAGE 7
49203505 | READER_22616 | RELEASE | PAGE 7
49203505 | READER_22616 | WAIT_READ | PAGE 8
49203505 | READER_22616 | WAIT_READ | PAGE 0
49203505 | READER_22616 | WAIT_READ | PAGE 1
