49162734 | WRITER_12464 | START
49162734 | WRITER_12464 | WRITING | PAGE 2
49163393 | WRITER_12464 | WRITE_DONE | PAGE 2
49163393 | WRITER_12464 | WRITING | PAGE 5
49164143 | WRITER_12464 | WRITE_DONE | PAGE 5
49165054 | WRITER_12464 | WRITING | PAGE 1
49166240 | WRITER_12464 | WRITE_DONE | PAGE 1
49173582 | WRITER_12464 | WRITING | PAGE 3
49174763 | WRITER_12464 | WRITE_DONE | PAGE 3
49174921 | WRITER_12464 | WRITING | PAGE 1
49175528 | WRITER_12464 | WRITE_DONE | PAGE 1
49176989 | WRITER_12464 | WRITING | PAGE 6
49177933 | WRITER_12464 | WRITE_DONE | PAGE 6
49179261 | WRITER_12464 | WRITING | PAGE 4
49180190 | WRITER_12464 | WRITE_DONE | PAGE 4
49183314 | WRITER_12464 | WRITING | PAGE 3
49184082 | WRITER_12464 | WRITE_DONE | PAGE 3
49184146 | WRITER_12464 | WRITING | PAGE 5
49185473 | WRITER_12464 | WRITE_DONE | PAGE 5
49186082 | WRITER_12464 | WRITING | PAGE 7
49186849 | WRITER_12464 | WRITE_DONE | PAGE 7
49186881 | WRITER_12464 | WRITING | PAGE 8
49187410 | WRITER_12464 | WRITE_DONE | PAGE 8
49187730 | WRITER_12464 | WRITING | PAGE 0
49188402 | WRITER_12464 | WRITE_DONE | PAGE 0
49188610 | WRITER_12464 | WRITING | PAGE 1
49189170 | WRITER_12464 | WRITE_DONE | PAGE 1
49189778 | WRITER_12464 | WRITING | PAGE 8
49191204 | WRITER_12464 | WRITE_DONE | PAGE 8
49191699 | WRITER_12464 | WRITING | PAGE 4
49192422 | WRITER_12464 | WRITE_DONE | PAGE 4
49192903 | WRITER_12464 | WRITING | PAGE 5
49193975 | WRITER_12464 | WRITE_DONE | PAGE 5
49194727 | WRITER_12464 | WRITING | PAGE 7
49196199 | WRITER_12464 | WRITE_DONE | PAGE 7
49197095 | WRITER_12464 | WRITING | PAGE 5
49197637 | WRITER_12464 | WRITE_DONE | PAGE 5
49201509 | WRITER_12464 | WRITING | PAGE 7
49202550 | WRITER_12464 | WRITE_DONE | PAGE 7
49202550 | WRITER_12464 | FINISHED
