49162812 | WRITER_19160 | START
49162812 | WRITER_19160 | WRITING | PAGE 4
49163581 | WRITER_19160 | WRITE_DONE | PAGE 4
49163581 | WRITER_19160 | WRITING | PAGE 6
49164395 | WRITER_19160 | WRITE_DONE | PAGE 6
49169135 | WRITER_19160 | WRITING | PAGE 5
49169871 | WRITER_19160 | WRITE_DONE | PAGE 5
49171247 | WRITER_19160 | WRITING | PAGE 7
49172109 | WRITER_19160 | WRITE_DONE | PAGE 7
49172940 | WRITER_19160 | WRITING | PAGE 1
49174010 | WRITER_19160 | WRITE_DONE | PAGE 1
49175461 | WRITER_19160 | WRITING | PAGE 3
49176841 | WRITER_19160 | WRITE_DONE | PAGE 3
49178169 | WRITER_19160 | WRITING | PAGE 3
49179625 | WRITER_19160 | WRITE_DONE | PAGE 3
49180170 | WRITER_19160 | WRITING | PAGE 5
49180924 | WRITER_19160 | WRITE_DONE | PAGE 5
49181132 | WRITER_19160 | WRITING | PAGE 8
49181820 | WRITER_19160 | WRITE_DONE | PAGE 8
49182348 | WRITER_19160 | WRITING | PAGE 2
49183279 | WRITER_19160 | WRITE_DONE | PAGE 2
49183631 | WRITER_19160 | WRITING | PAGE 8
49184559 | WRITER_19160 | WRITE_DONE | PAGE 8
49184607 | WRITER_19160 | WRITING | PAGE 2
49185309 | WRITER_19160 | WRITE_DONE | PAGE 2
49185918 | WRITER_19160 | WRITING | PAGE 1
49186957 | WRITER_19160 | WRITE_DONE | PAGE 1
49188047 | WRITER_19160 | WRITING | PAGE 3
49189054 | WRITER_19160 | WRITE_DONE | PAGE 3
49189695 | WRITER_19160 | WRITING | PAGE 2
49190992 | WRITER_19160 | WRITE_DONE | PAGE 2
49191040 | WRITER_19160 | WRITING | PAGE 6
49191952 | WRITER_19160 | WRITE_DONE | PAGE 6
49194100 | WRITER_19160 | WRITING | PAGE 6
49195220 | WRITER_19160 | WRITE_DONE | PAGE 6
49195525 | WRITER_19160 | WRITING | PAGE 8
49196852 | WRITER_19160 | WRITE_DONE | PAGE 8
49202578 | WRITER_19160 | FINISHED
