49162843 | READER_26296 | START
49162846 | READER_26296 | WAIT_READ | PAGE 2
49162953 | READER_26296 | WAIT_READ | PAGE 3
49163064 | READER_26296 | WAIT_READ | PAGE 4
49163175 | READER_26296 | WAIT_READ | PAGE 5
49163287 | READER_26296 | WAIT_READ | PAGE 6
49163399 | READER_26296 | WAIT_READ | PAGE 7
49163511 | READER_26296 | WAIT_READ | PAGE 8
49163623 | READER_26296 | WAIT_READ | PAGE 0
49163734 | READER_26296 | WAIT_READ | PAGE 1
49163734 | READER_26296 | READING | PAGE 1
49165044 | READER_26296 | LAST_READER | PAGE 1
49165044 | READER_26296 | RELEASE | PAGE 1
49165044 | READER_26296 | WAIT_READ | PAGE 2
49165156 | READER_26296 | WAIT_READ | PAGE 3
49165156 | READER_26296 | READING | PAGE 3
49166455 | READER_26296 | LAST_READER | PAGE 3
49166455 | READER_26296 | RELEASE | PAGE 3
49166455 | READER_26296 | WAIT_READ | PAGE 4
49166455 | READER_26296 | READING | PAGE 4
49167383 | READER_26296 | RELEASE | PAGE 4
49167383 | READER_26296 | WAIT_READ | PAGE 5
49167383 | READER_26296 | READING | PAGE 5
49168728 | READER_26296 | RELEASE | PAGE 5
49168728 | READER_26296 | WAIT_READ | PAGE 6
49168856 | READER_26296 | READING | PAGE 6
49169785 | READER_26296 | LAST_READER | PAGE 6
49169785 | READER_26296 | RELEASE | PAGE 6
49169785 | READER_26296 | WAIT_READ | PAGE 7
49169785 | READER_26296 | READING | PAGE 7
49170920 | READER_26296 | RELEASE | PAGE 7
49170920 | READER_26296 | WAIT_READ | PAGE 8
49170920 | READER_26296 | READING | PAGE 8
49171863 | READER_26296 | RELEASE | PAGE 8
49171863 | READER_26296 | WAIT_READ | PAGE 0
49171975 | READER_26296 | WAIT_READ | PAGE 1
49171975 | READER_26296 | READING | PAGE 1
49172919 | READER_26296 | LAST_READER | PAGE 1
49172919 | READER_26296 | RELEASE | PAGE 1
49172919 | READER_26296 | WAIT_READ | PAGE 2
49172919 | READER_26296 | READING | PAGE 2
49173605 | READER_26296 | RELEASE | PAGE 2
49173605 | READER_26296 | WAIT_READ | PAGE 3
49174770 | READER_26296 | READING | PAGE 3
49175439 | READER_26296 | LAST_READER | PAGE 3
49175439 | READER_26296 | RELEASE | PAGE 3
49175439 | READER_26296 | WAIT_READ | PAGE 4
49175439 | READER_26296 | READING | PAGE 4
49176500 | READER_26296 | LAST_READER | PAGE 4
49176502 | READER_26296 | RELEASE | PAGE 4
49176502 | READER_26296 | WAIT_READ | PAGE 5
49176502 | READER_26296 | READING | PAGE 5
49177861 | READER_26296 | LAST_READER | PAGE 5
49177861 | READER_26296 | RELEASE | PAGE 5
49177861 | READER_26296 | WAIT_READ | PAGE 6
49177940 | READER_26296 | READING | PAGE 6
49178452 | READER_26296 | LAST_READER | PAGE 6
49178452 | READER_26296 | RELEASE | PAGE 6
49178452 | READER_26296 | WAIT_READ | PAGE 7
49178836 | READER_26296 | READING | PAGE 7
49179572 | READER_26296 | LAST_READER | PAGE 7
49179572 | READER_26296 | RELEASE | PAGE 7
49179572 | READER_26296 | WAIT_READ | PAGE 8
49180276 | READER_26296 | READING | PAGE 8
49181110 | READER_26296 | LAST_READER | PAGE 8
49181110 | READER_26296 | RELEASE | PAGE 8
49181110 | READER_26296 | WAIT_READ | PAGE 0
49181110 | READER_26296 | READING | PAGE 0
49181671 | READER_26296 | LAST_READER | PAGE 0
49181671 | READER_26296 | RELEASE | PAGE 0
49181671 | READER_26296 | WAIT_READ | PAGE 1
49182374 | READER_26296 | READING | PAGE 1
49183833 | READER_26296 | LAST_READER | PAGE 1
49183833 | READER_26296 | RELEASE | PAGE 1
49183833 | READER_26296 | WAIT_READ | PAGE 2
49183833 | READER_26296 | READING | PAGE 2
49184585 | READER_26296 | LAST_READER | PAGE 2
49184585 | READER_26296 | RELEASE | PAGE 2
49184587 | READER_26296 | WAIT_READ | PAGE 3
49184587 | READER_26296 | READING | PAGE 3
49185481 | READER_26296 | LAST_READER | PAGE 3
49185483 | READER_26296 | RELEASE | PAGE 3
49185483 | READER_26296 | WAIT_READ | PAGE 4
49185483 | READER_26296 | READING | PAGE 4
49186440 | READER_26296 | LAST_READER | PAGE 4
49186440 | READER_26296 | RELEASE | PAGE 4
49186440 | READER_26296 | WAIT_READ | PAGE 5
49186440 | READER_26296 | READING | PAGE 5
49187737 | READER_26296 | LAST_READER | PAGE 5
49187737 | READER_26296 | RELEASE | PAGE 5
49187737 | READER_26296 | WAIT_READ | PAGE 6
49187737 | READER_26296 | READING | PAGE 6
49189032 | READER_26296 | LAST_READER | PAGE 6
49189032 | READER_26296 | RELEASE | PAGE 6
49189032 | READER_26296 | WAIT_READ | PAGE 7
49189753 | READER_26296 | READING | PAGE 7
49190890 | READER_26296 | RELEASE | PAGE 7
49190892 | READER_26296 | WAIT_READ | PAGE 8
49191210 | READER_26296 | READING | PAGE 8
49192541 | READER_26296 | RELEASE | PAGE 8
49192541 | READER_26296 | WAIT_READ | PAGE 0
49192541 | READER_26296 | READING | PAGE 0
49193774 | READER_26296 | RELEASE | PAGE 0
49193774 | READER_26296 | WAIT_READ | PAGE 1
49193774 | READER_26296 | READING | PAGE 1
49194829 | READER_26296 | RELEASE | PAGE 1
