49202522 | READER_22420 | WAIT_READ | PAGE 4
49202522 | READER_22420 | WAIT_READ | PAGE 5
49202522 | READER_22420 | WAIT_READ | PAGE 6
49202522 | READER_22420 | WAIT_READ | PAGE 7
49202554 | READER_22420 | READING | PAGE 7
49203816 | READER_22420 | RELEASE | PAGE 7
49203816 | READER_22420 | WAIT_READ | PAGE 8
49203816 | READER_22420 | WAIT_READ | PAGE 0
49203816 | READER_22420 | WAIT_READ | PAGE 1
49203816 | READER_22420 | WAIT_READ | PAGE 2
49203816 | READER_22420 | WAIT_READ | PAGE 3
49203816 | READER_22420 | WAIT_READ | PAGE 4
49203816 | READER_22420 | WAIT_READ | PAGE 5
49203821 | READER_22420 | WAIT_READ | PAGE 6
49203928 | READER_22420 | WAIT_READ | PAGE 7
49203928 | READER_22420 | READING | PAGE 7
49205367 | READER_22420 | RELEASE | PAGE 7
49205367 | READER_22420 | WAIT_READ | PAGE 8
49205479 | READER_22420 | WAIT_READ | PAGE 0
49205480 | READER_22420 | WAIT_READ | PAGE 1
49205591 | READER_22420 | WAIT_READ | PAGE 2
49205702 | READER_22420 | WAIT_READ | PAGE 3
49205814 | READER_22420 | WAIT_READ | PAGE 4
49205926 | READER_22420 | WAIT_READ | PAGE 5
49206038 | READER_22420 | WAIT_READ | PAGE 6
49206150 | READER_22420 | WAIT_READ | PAGE 7
49206150 | READER_22420 | READING | PAGE 7
49207645 | READER_22420 | RELEASE | PAGE 7
49207645 | READER_22420 | WAIT_READ | PAGE 8
49207757 | READER_22420 | WAIT_READ | PAGE 0
49207870 | READER_22420 | WAIT_READ | PAGE 1
49207982 | READER_22420 | WAIT_READ | PAGE 2
49208094 | READER_22420 | WAIT_READ | PAGE 3
49208206 | READER_22420 | WAIT_READ | PAGE 4
49208317 | READER_22420 | WAIT_READ | PAGE 5
49208429 | READER_22420 | WAIT_READ | PAGE 6
49208542 | READER_22420 | WAIT_READ | PAGE 7
49208542 | READER_22420 | READING | PAGE 7
49209662 | READER_22420 | RELEASE | PAGE 7
49209662 | READER_22420 | WAIT_READ | PAGE 8
49209775 | READER_22420 | WAIT_READ | PAGE 0
49209887 | READER_22420 | WAIT_READ | PAGE 1
49209999 | READER_22420 | WAIT_READ | PAGE 2
49210111 | READER_22420 | WAIT_READ | PAGE 3
49210223 | READER_22420 | WAIT_READ | PAGE 4
49210335 | READER_22420 | WAIT_READ | PAGE 5
49210447 | READER_22420 | WAIT_READ | PAGE 6
49210559 | READER_22420 | WAIT_READ | PAGE 7
49210559 | READER_22420 | READING | PAGE 7
49211901 | READER_22420 | RELEASE | PAGE 7
49211901 | READER_22420 | WAIT_READ | PAGE 8
49212013 | READER_22420 | WAIT_READ | PAGE 0
49212124 | READER_22420 | WAIT_READ | PAGE 1
49212237 | READER_22420 | WAIT_READ | PAGE 2
49212349 | READER_22420 | WAIT_READ | PAGE 3
49212461 | READER_22420 | WAIT_READ | PAGE 4
49212573 | READER_22420 | WAIT_READ | PAGE 5
49212685 | READER_22420 | WAIT_READ | PAGE 6
49212799 | READER_22420 | WAIT_READ | PAGE 7
49212799 | READER_22420 | READING | PAGE 7
49213406 | READER_22420 | RELEASE | PAGE 7
49213406 | READER_22420 | WAIT_READ | PAGE 8
49213517 | READER_22420 | WAIT_READ | PAGE 0
49213629 | READER_22420 | WAIT_READ | PAGE 1
49213740 | READER_22420 | WAIT_READ | PAGE 2
49213852 | READER_22420 | WAIT_READ | PAGE 3
49213964 | READER_22420 | WAIT_READ | PAGE 4
49214076 | READER_22420 | WAIT_READ | PAGE 5
49214187 | READER_22420 | WAIT_READ | PAGE 6
49214299 | READER_22420 | WAIT_READ | PAGE 7
49214299 | READER_22420 | READING | PAGE 7
49214988 | READER_22420 | RELEASE | PAGE 7
49214988 | READER_22420 | WAIT_READ | PAGE 8
49215098 | READER_22420 | WAIT_READ | PAGE 0
49215211 | READER_22420 | WAIT_READ | PAGE 1
49215322 | READER_22420 | WAIT_READ | PAGE 2
49215434 | READER_22420 | WAIT_READ | PAGE 3
49215546 | READER_22420 | WAIT_READ | PAGE 4
49215658 | READER_22420 | WAIT_READ | PAGE 5
49215769 | READER_22420 | WAIT_READ | PAGE 6
49215880 | READER_22420 | FINISHED
