49162828 | READER_17000 | START
49162833 | READER_17000 | WAIT_READ | PAGE 4
49162955 | READER_17000 | WAIT_READ | PAGE 5
49163066 | READER_17000 | WAIT_READ | PAGE 6
49163177 | READER_17000 | WAIT_READ | PAGE 7
49163290 | READER_17000 | WAIT_READ | PAGE 8
49163402 | READER_17000 | WAIT_READ | PAGE 0
49163514 | READER_17000 | WAIT_READ | PAGE 1
49163625 | READER_17000 | WAIT_READ | PAGE 2
49163625 | READER_17000 | READING | PAGE 2
49164344 | READER_17000 | LAST_READER | PAGE 2
49164344 | READER_17000 | RELEASE | PAGE 2
49164344 | READER_17000 | WAIT_READ | PAGE 3
49164344 | READER_17000 | READING | PAGE 3
49165095 | READER_17000 | RELEASE | PAGE 3
49165095 | READER_17000 | WAIT_READ | PAGE 4
49165095 | READER_17000 | READING | PAGE 4
49165912 | READER_17000 | RELEASE | PAGE 4
49165912 | READER_17000 | WAIT_READ | PAGE 5
49165912 | READER_17000 | READING | PAGE 5
49167082 | READER_17000 | RELEASE | PAGE 5
49167082 | READER_17000 | WAIT_READ | PAGE 6
49167082 | READER_17000 | READING | PAGE 6
49167897 | READER_17000 | RELEASE | PAGE 6
49167897 | READER_17000 | WAIT_READ | PAGE 7
49167897 | READER_17000 | READING | PAGE 7
49168698 | READER_17000 | RELEASE | PAGE 7
49168698 | READER_17000 | WAIT_READ | PAGE 8
49168698 | READER_17000 | READING | PAGE 8
49169435 | READER_17000 | LAST_READER | PAGE 8
49169435 | READER_17000 | RELEASE | PAGE 8
49169435 | READER_17000 | WAIT_READ | PAGE 0
49169435 | READER_17000 | READING | PAGE 0
49170874 | READER_17000 | LAST_READER | PAGE 0
49170874 | READER_17000 | RELEASE | PAGE 0
49170874 | READER_17000 | WAIT_READ | PAGE 1
49170874 | READER_17000 | READING | PAGE 1
49172137 | READER_17000 | RELEASE | PAGE 1
49172137 | READER_17000 | WAIT_READ | PAGE 2
49172137 | READER_17000 | READING | PAGE 2
49172841 | READER_17000 | RELEASE | PAGE 2
49172841 | READER_17000 | WAIT_READ | PAGE 3
49172841 | READER_17000 | READING | PAGE 3
49173576 | READER_17000 | LAST_READER | PAGE 3
49173576 | READER_17000 | RELEASE | PAGE 3
49173576 | READER_17000 | WAIT_READ | PAGE 4
49173576 | READER_17000 | READING | PAGE 4
49174437 | READER_17000 | LAST_READER | PAGE 4
49174437 | READER_17000 | RELEASE | PAGE 4
49174437 | READER_17000 | WAIT_READ | PAGE 5
49174437 | READER_17000 | READING | PAGE 5
49175025 | READER_17000 | RELEASE | PAGE 5
49175025 | READER_17000 | WAIT_READ | PAGE 6
49175025 | READER_17000 | READING | PAGE 6
49176108 | READER_17000 | RELEASE | PAGE 6
49176108 | READER_17000 | WAIT_READ | PAGE 7
49176108 | READER_17000 | READING | PAGE 7
49177191 | READER_17000 | RELEASE | PAGE 7
49177191 | READER_17000 | WAIT_READ | PAGE 8
49177191 | READER_17000 | READING | PAGE 8
49178646 | READER_17000 | RELEASE | PAGE 8
49178646 | READER_17000 | WAIT_READ | PAGE 0
49178646 | READER_17000 | READING | PAGE 0
49179974 | READER_17000 | RELEASE | PAGE 0
49179974 | READER_17000 | WAIT_READ | PAGE 1
49179974 | READER_17000 | READING | PAGE 1
49180920 | READER_17000 | RELEASE | PAGE 1
49180920 | READER_17000 | WAIT_READ | PAGE 2
49180920 | READER_17000 | READING | PAGE 2
49181785 | READER_17000 | RELEASE | PAGE 2
49181785 | READER_17000 | WAIT_READ | PAGE 3
49181785 | READER_17000 | READING | PAGE 3
49183034 | READER_17000 | RELEASE | PAGE 3
49183034 | READER_17000 | WAIT_READ | PAGE 4
49183034 | READER_17000 | READING | PAGE 4
49183596 | READER_17000 | RELEASE | PAGE 4
49183596 | READER_17000 | WAIT_READ | PAGE 5
49183596 | READER_17000 | READING | PAGE 5
49184139 | READER_17000 | LAST_READER | PAGE 5
49184139 | READER_17000 | RELEASE | PAGE 5
49184139 | READER_17000 | WAIT_READ | PAGE 6
49184139 | READER_17000 | READING | PAGE 6
49185114 | READER_17000 | LAST_READER | PAGE 6
49185114 | READER_17000 | RELEASE | PAGE 6
49185114 | READER_17000 | WAIT_READ | PAGE 7
49185114 | READER_17000 | READING | PAGE 7
49186075 | READER_17000 | LAST_READER | PAGE 7
49186075 | READER_17000 | RELEASE | PAGE 7
49186075 | READER_17000 | WAIT_READ | PAGE 8
49186075 | READER_17000 | READING | PAGE 8
