49162781 | WRITER_25852 | START
49162782 | WRITER_25852 | WRITING | PAGE 3
49163633 | WRITER_25852 | WRITE_DONE | PAGE 3
49163633 | WRITER_25852 | WRITING | PAGE 8
49165023 | WRITER_25852 | WRITE_DONE | PAGE 8
49166466 | WRITER_25852 | WRITING | PAGE 3
49167569 | WRITER_25852 | WRITE_DONE | PAGE 3
49168242 | WRITER_25852 | WRITING | PAGE 6
49168851 | WRITER_25852 | WRITE_DONE | PAGE 6
49169443 | WRITER_25852 | WRITING | PAGE 8
49170211 | WRITER_25852 | WRITE_DONE | PAGE 8
49170883 | WRITER_25852 | WRITING | PAGE 0
49172002 | WRITER_25852 | WRITE_DONE | PAGE 0
49172402 | WRITER_25852 | WRITING | PAGE 8
49173679 | WRITER_25852 | WRITE_DONE | PAGE 8
49174445 | WRITER_25852 | WRITING | PAGE 4
49175385 | WRITER_25852 | WRITE_DONE | PAGE 4
49175672 | WRITER_25852 | WRITING | PAGE 5
49176228 | WRITER_25852 | WRITE_DONE | PAGE 5
49178174 | WRITER_25852 | WRITING | PAGE 7
49178831 | WRITER_25852 | WRITE_DONE | PAGE 7
49179582 | WRITER_25852 | WRITING | PAGE 7
49180767 | WRITER_25852 | WRITE_DONE | PAGE 7
49181682 | WRITER_25852 | WRITING | PAGE 0
49182241 | WRITER_25852 | WRITE_DONE | PAGE 0
49183844 | WRITER_25852 | WRITING | PAGE 1
49185090 | WRITER_25852 | WRITE_DONE | PAGE 1
49185122 | WRITER_25852 | WRITING | PAGE 6
49186339 | WRITER_25852 | WRITE_DONE | PAGE 6
49186802 | WRITER_25852 | WRITING | PAGE 2
49187731 | WRITER_25852 | WRITE_DONE | PAGE 2
49187747 | WRITER_25852 | WRITING | PAGE 5
49188674 | WRITER_25852 | WRITE_DONE | PAGE 5
49189043 | WRITER_25852 | WRITING | PAGE 6
49189843 | WRITER_25852 | WRITE_DONE | PAGE 6
49190082 | WRITER_25852 | WRITING | PAGE 5
49191028 | WRITER_25852 | WRITE_DONE | PAGE 5
49191044 | WRITER_25852 | WRITING | PAGE 0
49192295 | WRITER_25852 | WRITE_DONE | PAGE 0
49192328 | WRITER_25852 | WRITING | PAGE 1
49193321 | WRITER_25852 | WRITE_DONE | PAGE 1
49193800 | WRITER_25852 | WRITING | PAGE 2
49194904 | WRITER_25852 | WRITE_DONE | PAGE 2
49195897 | WRITER_25852 | WRITING | PAGE 4
49196920 | WRITER_25852 | WRITE_DONE | PAGE 4
49202566 | WRITER_25852 | FINISHED
