49162796 | READER_25080 | START
49162796 | READER_25080 | WAIT_READ | PAGE 1
49162909 | READER_25080 | WAIT_READ | PAGE 2
49163020 | READER_25080 | WAIT_READ | PAGE 3
49163131 | READER_25080 | WAIT_READ | PAGE 4
49163243 | READER_25080 | WAIT_READ | PAGE 5
49163355 | READER_25080 | WAIT_READ | PAGE 6
49163467 | READER_25080 | WAIT_READ | PAGE 7
49163579 | READER_25080 | WAIT_READ | PAGE 8
49163690 | READER_25080 | WAIT_READ | PAGE 0
49163801 | READER_25080 | WAIT_READ | PAGE 1
49163802 | READER_25080 | READING | PAGE 1
49164872 | READER_25080 | RELEASE | PAGE 1
49164872 | READER_25080 | WAIT_READ | PAGE 2
49165801 | READER_25080 | READING | PAGE 2
49166459 | READER_25080 | LAST_READER | PAGE 2
49166459 | READER_25080 | RELEASE | PAGE 2
49166459 | READER_25080 | WAIT_READ | PAGE 3
49166459 | READER_25080 | WAIT_READ | PAGE 4
49166459 | READER_25080 | READING | PAGE 4
49167738 | READER_25080 | LAST_READER | PAGE 4
49167738 | READER_25080 | RELEASE | PAGE 4
49167738 | READER_25080 | WAIT_READ | PAGE 5
49167738 | READER_25080 | READING | PAGE 5
49168909 | READER_25080 | RELEASE | PAGE 5
49168909 | READER_25080 | WAIT_READ | PAGE 6
49168909 | READER_25080 | READING | PAGE 6
49169452 | READER_25080 | RELEASE | PAGE 6
49169452 | READER_25080 | WAIT_READ | PAGE 7
49169452 | READER_25080 | READING | PAGE 7
49170812 | READER_25080 | RELEASE | PAGE 7
49170812 | READER_25080 | WAIT_READ | PAGE 8
49170812 | READER_25080 | READING | PAGE 8
49171340 | READER_25080 | RELEASE | PAGE 8
49171340 | READER_25080 | WAIT_READ | PAGE 0
49171452 | READER_25080 | WAIT_READ | PAGE 1
49171452 | READER_25080 | READING | PAGE 1
49172266 | READER_25080 | RELEASE | PAGE 1
49172266 | READER_25080 | WAIT_READ | PAGE 2
49172266 | READER_25080 | READING | PAGE 2
49173626 | READER_25080 | LAST_READER | PAGE 2
49173628 | READER_25080 | RELEASE | PAGE 2
49173628 | READER_25080 | WAIT_READ | PAGE 3
49173736 | READER_25080 | WAIT_READ | PAGE 4
49173736 | READER_25080 | READING | PAGE 4
49174343 | READER_25080 | RELEASE | PAGE 4
49174343 | READER_25080 | WAIT_READ | PAGE 5
49174343 | READER_25080 | READING | PAGE 5
49175666 | READER_25080 | LAST_READER | PAGE 5
49175666 | READER_25080 | RELEASE | PAGE 5
49175666 | READER_25080 | WAIT_READ | PAGE 6
49175666 | READER_25080 | READING | PAGE 6
49176983 | READER_25080 | LAST_READER | PAGE 6
49176983 | READER_25080 | RELEASE | PAGE 6
49176983 | READER_25080 | WAIT_READ | PAGE 7
49176983 | READER_25080 | READING | PAGE 7
49178168 | READER_25080 | LAST_READER | PAGE 7
49178168 | READER_25080 | RELEASE | PAGE 7
49178168 | READER_25080 | WAIT_READ | PAGE 8
49178168 | READER_25080 | READING | PAGE 8
49179127 | READER_25080 | LAST_READER | PAGE 8
49179127 | READER_25080 | RELEASE | PAGE 8
49179127 | READER_25080 | WAIT_READ | PAGE 0
49179127 | READER_25080 | READING | PAGE 0
49180377 | READER_25080 | LAST_READER | PAGE 0
49180377 | READER_25080 | RELEASE | PAGE 0
49180377 | READER_25080 | WAIT_READ | PAGE 1
49180379 | READER_25080 | READING | PAGE 1
49181386 | READER_25080 | LAST_READER | PAGE 1
49181386 | READER_25080 | RELEASE | PAGE 1
49181386 | READER_25080 | WAIT_READ | PAGE 2
49181386 | READER_25080 | READING | PAGE 2
49182330 | READER_25080 | LAST_READER | PAGE 2
49182330 | READER_25080 | RELEASE | PAGE 2
49182330 | READER_25080 | WAIT_READ | PAGE 3
49182330 | READER_25080 | READING | PAGE 3
49183308 | READER_25080 | LAST_READER | PAGE 3
49183308 | READER_25080 | RELEASE | PAGE 3
49183308 | READER_25080 | WAIT_READ | PAGE 4
49183308 | READER_25080 | READING | PAGE 4
49184270 | READER_25080 | LAST_READER | PAGE 4
49184270 | READER_25080 | RELEASE | PAGE 4
49184270 | READER_25080 | WAIT_READ | PAGE 5
49185483 | READER_25080 | READING | PAGE 5
49186907 | READER_25080 | RELEASE | PAGE 5
49186907 | READER_25080 | WAIT_READ | PAGE 6
49186907 | READER_25080 | READING | PAGE 6
49187820 | READER_25080 | RELEASE | PAGE 6
49187820 | READER_25080 | WAIT_READ | PAGE 7
49187820 | READER_25080 | READING | PAGE 7
49188875 | READER_25080 | LAST_READER | PAGE 7
49188875 | READER_25080 | RELEASE | PAGE 7
49188875 | READER_25080 | WAIT_READ | PAGE 8
49188875 | READER_25080 | READING | PAGE 8
49189772 | READER_25080 | LAST_READER | PAGE 8
49189772 | READER_25080 | RELEASE | PAGE 8
49189772 | READER_25080 | WAIT_READ | PAGE 0
49189772 | READER_25080 | READING | PAGE 0
49191038 | READER_25080 | LAST_READER | PAGE 0
49191038 | READER_25080 | RELEASE | PAGE 0
49191038 | READER_25080 | WAIT_READ | PAGE 1
49191038 | READER_25080 | READING | PAGE 1
49192321 | READER_25080 | LAST_READER | PAGE 1
49192321 | READER_25080 | RELEASE | PAGE 1
49192321 | READER_25080 | WAIT_READ | PAGE 2
49192321 | READER_25080 | READING | PAGE 2
49193793 | READER_25080 | LAST_READER | PAGE 2
49193793 | READER_25080 | RELEASE | PAGE 2
49193793 | READER_25080 | WAIT_READ | PAGE 3
49193793 | READER_25080 | READING | PAGE 3
49194658 | READER_25080 | LAST_READER | PAGE 3
49194658 | READER_25080 | RELEASE | PAGE 3
49194658 | READER_25080 | WAIT_READ | PAGE 4
49194658 | READER_25080 | READING | PAGE 4
49195890 | READER_25080 | LAST_READER | PAGE 4
49195890 | READER_25080 | RELEASE | PAGE 4
49195890 | READER_25080 | WAIT_READ | PAGE 5
49195890 | READER_25080 | READING | PAGE 5
49197089 | READER_25080 | LAST_READER | PAGE 5
49197089 | READER_25080 | RELEASE | PAGE 5
49197089 | READER_25080 | WAIT_READ | PAGE 6
49197089 | READER_25080 | READING | PAGE 6
49198558 | READER_25080 | LAST_READER | PAGE 6
49198558 | READER_25080 | RELEASE | PAGE 6
49198558 | READER_25080 | WAIT_READ | PAGE 7
49198558 | READER_25080 | READING | PAGE 7
49199071 | READER_25080 | RELEASE | PAGE 7
49199071 | READER_25080 | WAIT_READ | PAGE 8
49199071 | READER_25080 | READING | PAGE 8
49200337 | READER_25080 | LAST_READER | PAGE 8
49200337 | READER_25080 | RELEASE | PAGE 8
49200337 | READER_25080 | WAIT_READ | PAGE 0
49200337 | READER_25080 | READING | PAGE 0
