49162718 | WRITER_17672 | START
49162718 | WRITER_17672 | WRITING | PAGE 1
49163617 | WRITER_17672 | WRITE_DONE | PAGE 1
49163617 | WRITER_17672 | WRITING | PAGE 7
49164320 | WRITER_17672 | WRITE_DONE | PAGE 7
49164351 | WRITER_17672 | WRITING | PAGE 2
49165791 | WRITER_17672 | WRITE_DONE | PAGE 2
49166465 | WRITER_17672 | WRITING | PAGE 2
49167537 | WRITER_17672 | WRITE_DONE | PAGE 2
49167744 | WRITER_17672 | WRITING | PAGE 4
49168899 | WRITER_17672 | WRITE_DONE | PAGE 4
49173631 | WRITER_17672 | WRITING | PAGE 2
49174748 | WRITER_17672 | WRITE_DONE | PAGE 2
49176510 | WRITER_17672 | WRITING | PAGE 4
49177661 | WRITER_17672 | WRITE_DONE | PAGE 4
49177870 | WRITER_17672 | WRITING | PAGE 5
49179262 | WRITER_17672 | WRITE_DONE | PAGE 5
49180383 | WRITER_17672 | WRITING | PAGE 0
49181088 | WRITER_17672 | WRITE_DONE | PAGE 0
49181393 | WRITER_17672 | WRITING | PAGE 1
49182368 | WRITER_17672 | WRITE_DONE | PAGE 1
49184275 | WRITER_17672 | WRITING | PAGE 4
49184915 | WRITER_17672 | WRITE_DONE | PAGE 4
49185490 | WRITER_17672 | WRITING | PAGE 3
49186195 | WRITER_17672 | WRITE_DONE | PAGE 3
49186450 | WRITER_17672 | WRITING | PAGE 4
49187684 | WRITER_17672 | WRITE_DONE | PAGE 4
49188882 | WRITER_17672 | WRITING | PAGE 7
49189747 | WRITER_17672 | WRITE_DONE | PAGE 7
49190836 | WRITER_17672 | WRITING | PAGE 3
49191604 | WRITER_17672 | WRITE_DONE | PAGE 3
49191908 | WRITER_17672 | WRITING | PAGE 7
49193160 | WRITER_17672 | WRITE_DONE | PAGE 7
49194136 | WRITER_17672 | WRITING | PAGE 0
49194759 | WRITER_17672 | WRITE_DONE | PAGE 0
49195160 | WRITER_17672 | WRITING | PAGE 1
49196551 | WRITER_17672 | WRITE_DONE | PAGE 1
49202550 | WRITER_17672 | FINISHED
